"RA";"MES";"n"
"Plano Piloto";"jun";557
"Plano Piloto";"jul";307
"Plano Piloto";"ago";287
"Plano Piloto";"set";277
"Plano Piloto";"out";134
"Gama";"abr";429
"Gama";"mai";409
"Gama";"ago";5
"Taguatinga";"jul";500
"Taguatinga";"ago";550
"Taguatinga";"set";78
"Brazlândia";"jun";222
"Brazlândia";"jul";385
"Brazlândia";"ago";3
"Sobradinho";"jun";437
"Sobradinho";"jul";224
"Sobradinho";"ago";20
"Sobradinho";"out";1
"Planaltina";"ago";791
"Paranoá";"jul";225
"Paranoá";"ago";319
"Núcleo Bandeirante";"mar";267
"Núcleo Bandeirante";"abr";154
"Núcleo Bandeirante";"jun";82
"Núcleo Bandeirante";"jul";6
"Núcleo Bandeirante";"ago";18
"Ceilândia";"mai";1406
"Ceilândia";"jun";420
"Guará";"jul";290
"Guará";"ago";418
"Guará";"set";124
"Guará";"out";1
"Cruzeiro";"abr";186
"Cruzeiro";"mai";103
"Cruzeiro";"jun";167
"Cruzeiro";"jul";89
"Cruzeiro";"ago";1
"Samambaia";"mar";535
"Samambaia";"abr";149
"Samambaia";"mai";34
"Santa Maria";"abr";191
"Santa Maria";"mai";509
"Santa Maria";"jul";1
"Santa Maria";"ago";3
"São Sebastião";"jul";174
"São Sebastião";"ago";572
"São Sebastião";"set";114
"São Sebastião";"out";51
"Recanto das Emas";"abr";774
"Recanto das Emas";"mai";8
"Lago Sul";"ago";65
"Lago Sul";"set";161
"Lago Sul";"out";122
"Riacho Fundo";"mar";374
"Riacho Fundo";"abr";136
"Riacho Fundo";"jun";10
"Riacho Fundo";"ago";19
"Lago Norte";"ago";97
"Lago Norte";"set";212
"Lago Norte";"out";70
"Candangolândia";"mar";350
"Candangolândia";"abr";170
"Candangolândia";"jun";2
"Candangolândia";"jul";7
"Candangolândia";"ago";7
"Águas Claras";"ago";705
"Águas Claras";"set";632
"Águas Claras";"out";58
"Riacho Fundo II";"abr";538
"Riacho Fundo II";"jul";15
"Sudoeste/Octogonal";"ago";79
"Sudoeste/Octogonal";"set";156
"Sudoeste/Octogonal";"out";224
"Varjão";"jun";611
"Varjão";"set";2
"Park Way";"ago";6
"Park Way";"set";236
"Park Way";"out";103
"SCIA-Estrutural";"set";560
"Sobradinho II";"jul";415
"Sobradinho II";"ago";355
"Jardim Botânico";"jul";68
"Jardim Botânico";"ago";204
"Jardim Botânico";"set";35
"Jardim Botânico";"out";130
"Itapoã";"jul";589
"Itapoã";"set";1
"SIA";"set";95
"Vicente Pires";"ago";116
"Vicente Pires";"set";570
"Vicente Pires";"out";35
"Fercal";"jul";369
"Fercal";"ago";192
