"RA";"MES";"n"
"Plano Piloto";"Jun";557
"Plano Piloto";"Jul";307
"Plano Piloto";"Aug";287
"Plano Piloto";"Sep";277
"Plano Piloto";"Oct";134
"Gama";"Apr";429
"Gama";"May";409
"Gama";"Aug";5
"Taguatinga";"Jul";500
"Taguatinga";"Aug";550
"Taguatinga";"Sep";78
"Brazlândia";"Jun";222
"Brazlândia";"Jul";385
"Brazlândia";"Aug";3
"Sobradinho";"Jun";437
"Sobradinho";"Jul";224
"Sobradinho";"Aug";20
"Sobradinho";"Oct";1
"Planaltina";"Aug";791
"Paranoá";"Jul";225
"Paranoá";"Aug";319
"Núcleo Bandeirante";"Mar";267
"Núcleo Bandeirante";"Apr";154
"Núcleo Bandeirante";"Jun";82
"Núcleo Bandeirante";"Jul";6
"Núcleo Bandeirante";"Aug";18
"Ceilândia";"May";1406
"Ceilândia";"Jun";420
"Guará";"Jul";290
"Guará";"Aug";418
"Guará";"Sep";124
"Guará";"Oct";1
"Cruzeiro";"Apr";186
"Cruzeiro";"May";103
"Cruzeiro";"Jun";167
"Cruzeiro";"Jul";89
"Cruzeiro";"Aug";1
"Samambaia";"Mar";535
"Samambaia";"Apr";149
"Samambaia";"May";34
"Santa Maria";"Apr";191
"Santa Maria";"May";509
"Santa Maria";"Jul";1
"Santa Maria";"Aug";3
"São Sebastião";"Jul";174
"São Sebastião";"Aug";572
"São Sebastião";"Sep";114
"São Sebastião";"Oct";51
"Recanto das Emas";"Apr";774
"Recanto das Emas";"May";8
"Lago Sul";"Aug";65
"Lago Sul";"Sep";161
"Lago Sul";"Oct";122
"Riacho Fundo";"Mar";374
"Riacho Fundo";"Apr";136
"Riacho Fundo";"Jun";10
"Riacho Fundo";"Aug";19
"Lago Norte";"Aug";97
"Lago Norte";"Sep";212
"Lago Norte";"Oct";70
"Candangolândia";"Mar";350
"Candangolândia";"Apr";170
"Candangolândia";"Jun";2
"Candangolândia";"Jul";7
"Candangolândia";"Aug";7
"Águas Claras";"Aug";705
"Águas Claras";"Sep";632
"Águas Claras";"Oct";58
"Riacho Fundo II";"Apr";538
"Riacho Fundo II";"Jul";15
"Sudoeste/Octogonal";"Aug";79
"Sudoeste/Octogonal";"Sep";156
"Sudoeste/Octogonal";"Oct";224
"Varjão";"Jun";611
"Varjão";"Sep";2
"Park Way";"Aug";6
"Park Way";"Sep";236
"Park Way";"Oct";103
"SCIA-Estrutural";"Sep";560
"Sobradinho II";"Jul";415
"Sobradinho II";"Aug";355
"Jardim Botânico";"Jul";68
"Jardim Botânico";"Aug";204
"Jardim Botânico";"Sep";35
"Jardim Botânico";"Oct";130
"Itapoã";"Jul";589
"Itapoã";"Sep";1
"SIA";"Sep";95
"Vicente Pires";"Aug";116
"Vicente Pires";"Sep";570
"Vicente Pires";"Oct";35
"Fercal";"Jul";369
"Fercal";"Aug";192
