"CD_SEQ_DOM";"RA";"DT_DATA_PESQUISA";"DATA_CORRIGIDA";"ANO"
25601;"Brasília/Plano Piloto";"8/17/2006 ";2006-08-17;2006
26716;"Brasília/Plano Piloto";"          ";;
26870;"Brasília/Plano Piloto";"9/1/2018  ";2018-09-01;2018
4583;"Gama";"5/12/2014 ";2014-05-12;2014
4822;"Gama";"5/5/2010  ";2010-05-05;2010
4900;"Gama";"5/8/2020  ";2020-05-08;2020
5476;"Gama";"5/29/2012 ";2012-05-29;2012
5494;"Gama";"5/29/2026 ";2026-05-29;2026
17702;"Taguatinga";"2/24/2002 ";2002-02-24;2002
17770;"Taguatinga";"2/22/2006 ";2006-02-22;2006
17865;"Taguatinga";"2/15/2002 ";2002-02-15;2002
18490;"Taguatinga";"12/11/2026";2026-12-11;2026
19303;"Taguatinga";"4/26/2019 ";2019-04-26;2019
1365;"Brazlândia";"1/13/2014 ";2014-01-13;2014
1637;"Brazlândia";"1/14/2001 ";2001-01-14;2001
1808;"Brazlândia";"1/14/2014 ";2014-01-14;2014
1758;"Planaltina";"7/19/1583 ";1583-07-19;1583
1769;"Planaltina";"          ";;
5921;"Ceilândia";"5/18/2018 ";2018-05-18;2018
6296;"Ceilândia";"12/15/1969";1969-12-15;1969
6614;"Ceilândia";"6/22/1950 ";1950-06-22;1950
10122;"Ceilândia";"8/25/2026 ";2026-08-25;2026
10568;"Ceilândia";"9/11/2017 ";2017-09-11;2017
10818;"Ceilândia";"9/23/2026 ";2026-09-23;2026
7595;"Guará";"5/7/2026  ";2026-05-07;2026
2297;"Samambaia";"3/3/2003  ";2003-03-03;2003
2392;"Samambaia";"3/17/2005 ";2005-03-17;2005
2878;"Samambaia";"3/24/2005 ";2005-03-24;2005
2952;"Samambaia";"3/27/2014 ";2014-03-27;2014
3271;"Samambaia";"9/20/2014 ";2014-09-20;2014
4440;"Santa Maria";"4/7/2026  ";2026-04-07;2026
16343;"São Sebastião";"1/5/2001  ";2001-01-05;2001
849;"Recanto das Emas";"2/15/2025 ";2025-02-15;2025
900;"Recanto das Emas";"2/2/2005  ";2005-02-02;2005
919;"Recanto das Emas";"1/19/2005 ";2005-01-19;2005
983;"Recanto das Emas";"2/4/2014  ";2014-02-04;2014
25464;"Lago Sul";"8/23/2006 ";2006-08-23;2006
13583;"Candangolândia";"          ";;
14910;"Candangolândia";"11/11/2011";2011-11-11;2011
23570;"Águas Claras";"2/19/2010 ";2010-02-19;2010
20124;"Sudoeste/Octogonal";"4/5/2006  ";2006-04-05;2006
20814;"Sudoeste/Octogonal";"5/26/2014 ";2014-05-26;2014
15399;"SCIA-Estrutural";"11/6/2012 ";2012-11-06;2012
15580;"SCIA-Estrutural";"12/7/2006 ";2006-12-07;2006
9056;"Sobradinho II";"6/26/1945 ";1945-06-26;1945
9169;"Sobradinho II";"7/16/2014 ";2014-07-16;2014
9304;"Sobradinho II";"7/31/2005 ";2005-07-31;2005
17282;"Jardim Botânico";"1/24/2019 ";2019-01-24;2019
18313;"Jardim Botânico";"3/14/2010 ";2010-03-14;2010
21426;"Vicente Pires";"5/27/2006 ";2006-05-27;2006
22170;"Vicente Pires";"          ";;
22171;"Vicente Pires";"          ";;
13166;"Fercal";"11/2/2010 ";2010-11-02;2010
13227;"Fercal";"10/15/2025";2025-10-15;2025
13344;"Fercal";"10/29/2026";2026-10-29;2026
13426;"Fercal";"10/27/2011";2011-10-27;2011
